"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW44";"switch_SSSS811101";1;"SW_SPDT";;;
2;"U4";"one42";1;"One42";;;
3;"R6";"R_0805_2012Metric";1;"1M";;;
4;"D43";"SOT-143";1;"SR05";;;
5;"SwC02,SwB07,SwD06,SwD05,SwC11,SwA08,SwC01,SwA09,SwA03,SwA02,SwB04,SwB09,SwA07,SwD07,SwA11,SwA05,SwC04,SwB08,SwC00,SwB10,SwA04,SwC07,SwC09,SwC03,SwB02,SwC06,SwA10,SwB03,SwB11,SwB06,SwB01,SwA00,SwA06,SwC10,SwC05,SwC08,SwB05,SwB00,SwD04,SwA01";"pg1353";40;"SW_Push";;;
6;"D4,D40,D1,D34,D20,D10,D7,D30,D19,D11,D31,D32,D42,D25,D41,D5,D16,D12,D26,D2,D23,D28,D36,D3,D13,D27,D24,D15,D22,D6,D37,D21,D38,D29,D33,D35,D8,D17,D9,D39,D18,D14";"D_SOD-123";42;"D_Small";;;
7;"U1";"SOT-23-5";1;"TP4054";;;
8;"R3,R1";"R_0805_2012Metric";2;"5.1k";;;
9;"R9";"R_0805_2012Metric";1;"2M";;;
10;"SwD03,SwD08";"pg1353_ec11rotSw";2;"Rotary_Encoder_Switch";;;
11;"USB1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12_handsolder";1;"HRO-TYPE-C-31-M-12";;;
12;"R5,R7";"R_0805_2012Metric";2;"1k";;;
13;"BT1";"cell_pads";1;"Battery_Cell";;;
14;"U3";"nRF52840_holyiot_18010_HS_simple";1;"nRF52840_holyiot_18010";;;
15;"C2,C3";"C_0805_2012Metric";2;"1uF";;;
16;"R8";"R_0805_2012Metric";1;"806k";;;
17;"F1";"Fuse_1206_3216Metric";1;"500ma";;;
18;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
19;"C4";"C_1206_3216Metric";1;"4.7n";;;
20;"R2,R4";"R_0805_2012Metric";2;"10k";;;
21;"D46";"D_0805_2012Metric";1;"statusLED";;;
22;"C1";"C_0805_2012Metric";1;"4.7uF";;;
23;"D44";"D_SOD-123";1;"1N5819";;;
24;"Q1";"SOT-23";1;"AO3401A";;;
25;"D45";"D_0805_2012Metric";1;"powerLED";;;
26;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
27;"JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Reset";;;
